Email,First Name,Last Name,Residential Address Street,Residential Address Locality,Residential Address State,Residential Address Postcode,Postal Address Street,Postal Address Locality,Postal Address State,Postal Address Postcode,Residential Address Full,Postal Address Full,Residential co-ordinates
colton_tromp@gmail.com,Darcy,Waters,8540 Charli Summit,AIRLIE BEACH,QLD,4802,376 Williamson Hill,ARTHUR RIVER,WA,6315,"AIRLIE BEACH, QLD, 4802","376 Williamson Hill, ARTHUR RIVER, WA, 6315","(-20.272494000000002, 148.71814657732955)"
lindsay_bradtke@gmail.com,Georgia,Stewart,650 Harris Summit,ARCTURUS,QLD,4722,477 Jasmine Circle,ALDINGA,SA,5173,"ARCTURUS, QLD, 4722","477 Jasmine Circle, ALDINGA, SA, 5173","(-23.975732999999998, 148.32711448169016)"
jaime_kuphal@yahoo.com,Joshua,Schmidt,53 Klein Circle,AMBLESIDE,TAS,7310,2979 Anthony Drive,AMOR,VIC,3825,"AMBLESIDE, TAS, 7310","2979 Anthony Drive, AMOR, VIC, 3825","(-41.2050163, 146.3748003)"
odell.king@hotmail.com,Natalie,Smith,545 Summer Avenue,ALVIE,VIC,3249,5454 Koss Track,ANABRANCH SOUTH,NSW,2648,"ALVIE, VIC, 3249","5454 Koss Track, ANABRANCH SOUTH, NSW, 2648","(-38.2441811, 143.5155992)"
carlos@hotmail.com,Cameron,Schneider,46 Becker Summit,ALLANSFORD,VIC,3277,3137 Lakin Station St,ALLANS FLAT,VIC,3691,"ALLANSFORD, VIC, 3277","3137 Lakin Station St, ALLANS FLAT, VIC, 3691","(-38.3862028, 142.6001551)"
june@gmail.com,Oscar,King,727 Zoe Knoll,ADELAIDE RIVER,NT,846,71 Morissette Manor,AMHERST,VIC,3371,"ADELAIDE RIVER, NT, 846","71 Morissette Manor, AMHERST, VIC, 3371","(-13.2387657, 131.1070072)"
linsey.blanda@hotmail.com,Mia,Flatley,15 Hannah Circle,ARMADALE,WA,6112,696 Jenkins Parkway,AMBERLEY,QLD,4306,"ARMADALE, WA, 6112","696 Jenkins Parkway, AMBERLEY, QLD, 4306","(-32.1533106, 116.0130563)"
roger.prohaska@gmail.com,Charles,Wilson,85 Isaac Terrace,ALEXANDRA HILLS,QLD,3161,5414 Leannon Crest,ALSACE,QLD,4702,"ALEXANDRA HILLS, QLD, 3161","5414 Leannon Crest, ALSACE, QLD, 4702","(-27.5232672, 153.2214907)"
arthur@yahoo.com,Owen,Carter,9300 Moss Run,ANKETELL,WA,6167,99 Levi Summit,ADARE,QLD,4343,"ANKETELL, WA, 6167","99 Levi Summit, ADARE, QLD, 4343","(-32.2197553, 115.8667368)"
barrett@yahoo.com,Ashley,Green,5023 Nader Lane,ANDAMOOKA,SA,5722,92 Bergstrom Run,ANTONYMYRE,WA,6714,"ANDAMOOKA, SA, 5722","92 Bergstrom Run, ANTONYMYRE, WA, 6714","(-30.4534886, 137.16501576788045)"
