Email,First Name,Last Name,Residential Address Street,Residential Address Locality,Residential Address State,Residential Address Postcode,Postal Address Street,Postal Address Locality,Postal Address State,Postal Address Postcode,Postal_co-ordinates,Residential_co-ordinates
colton_tromp@gmail.com,Darcy,Waters,8540 Charli Summit,AIRLIE BEACH,QLD,4802,376 Williamson Hill,ARTHUR RIVER,WA,6315,"(-33.3441135, 117.01571419732676)","(-20.272494000000002, 148.71814657732955)"
lindsay_bradtke@gmail.com,Georgia,Stewart,650 Harris Summit,ARCTURUS,QLD,4722,477 Jasmine Circle,ALDINGA,SA,5173,"(-35.2673234, 138.4831296)","(-23.975732999999998, 148.32711448169016)"
jaime_kuphal@yahoo.com,Joshua,Schmidt,53 Klein Circle,AMBLESIDE,TAS,7310,2979 Anthony Drive,AMOR,VIC,3825,"(-37.939795000000004, 146.4046230412041)","(-41.2050163, 146.3748003)"
odell.king@hotmail.com,Natalie,Smith,545 Summer Avenue,ALVIE,VIC,3249,5454 Koss Track,ANABRANCH SOUTH,NSW,2648,"(-33.6929151, 141.7057254)","(-38.2441811, 143.5155992)"
carlos@hotmail.com,Cameron,Schneider,46 Becker Summit,ALLANSFORD,VIC,3277,3137 Lakin Station St,ALLANS FLAT,VIC,3691,"(-36.2944155, 146.94292341122937)","(-38.3862028, 142.6001551)"
june@gmail.com,Oscar,King,727 Zoe Knoll,ADELAIDE RIVER,NT,846,71 Morissette Manor,AMHERST,VIC,3371,"(-37.139846500000004, 143.65653903202832)","(-13.2387657, 131.1070072)"
linsey.blanda@hotmail.com,Mia,Flatley,15 Hannah Circle,ARMADALE,WA,6112,696 Jenkins Parkway,AMBERLEY,QLD,4306,"(-27.6304065, 152.6980108651208)","(-32.1533106, 116.0130563)"
roger.prohaska@gmail.com,Charles,Wilson,85 Isaac Terrace,ALEXANDRA HILLS,QLD,3161,5414 Leannon Crest,ALSACE,QLD,4702,"(-23.287394, 149.2905304575663)","(-27.5232672, 153.2214907)"
arthur@yahoo.com,Owen,Carter,9300 Moss Run,ANKETELL,WA,6167,99 Levi Summit,ADARE,QLD,4343,"(-27.5123015, 152.28868017258898)","(-32.2197553, 115.8667368)"
barrett@yahoo.com,Ashley,Green,5023 Nader Lane,ANDAMOOKA,SA,5722,92 Bergstrom Run,ANTONYMYRE,WA,6714,"(-20.6267825, 117.07780048166553)","(-30.4534886, 137.16501576788045)"
