Email,First Name,Last Name,Residential Address Street,Residential Address Locality,Residential Address State,Residential Address Postcode,Postal Address Street,Postal Address Locality,Postal Address State,Postal Address Postcode,Full_Residential_Address,Full_Postal_Address,Postal_co-ordinates
colton_tromp@gmail.com,Darcy,Waters,8540 Charli Summit,AIRLIE BEACH,QLD,4802,376 Williamson Hill,ARTHUR RIVER,WA,6315,"AIRLIE BEACH, QLD, 4802","ARTHUR RIVER, WA, 6315","(-33.3441135, 117.01571419732676)"
lindsay_bradtke@gmail.com,Georgia,Stewart,650 Harris Summit,ARCTURUS,QLD,4722,477 Jasmine Circle,ALDINGA,SA,5173,"ARCTURUS, QLD, 4722","ALDINGA, SA, 5173","(-35.2673234, 138.4831296)"
jaime_kuphal@yahoo.com,Joshua,Schmidt,53 Klein Circle,AMBLESIDE,TAS,7310,2979 Anthony Drive,AMOR,VIC,3825,"AMBLESIDE, TAS, 7310","AMOR, VIC, 3825","(-37.939795000000004, 146.4046230412041)"
odell.king@hotmail.com,Natalie,Smith,545 Summer Avenue,ALVIE,VIC,3249,5454 Koss Track,ANABRANCH SOUTH,NSW,2648,"ALVIE, VIC, 3249","ANABRANCH SOUTH, NSW, 2648","(-33.6929151, 141.7057254)"
carlos@hotmail.com,Cameron,Schneider,46 Becker Summit,ALLANSFORD,VIC,3277,3137 Lakin Station St,ALLANS FLAT,VIC,3691,"ALLANSFORD, VIC, 3277","ALLANS FLAT, VIC, 3691","(-36.2944155, 146.94292341122937)"
june@gmail.com,Oscar,King,727 Zoe Knoll,ADELAIDE RIVER,NT,846,71 Morissette Manor,AMHERST,VIC,3371,"ADELAIDE RIVER, NT, 846","AMHERST, VIC, 3371","(-37.139846500000004, 143.65653903202832)"
linsey.blanda@hotmail.com,Mia,Flatley,15 Hannah Circle,ARMADALE,WA,6112,696 Jenkins Parkway,AMBERLEY,QLD,4306,"ARMADALE, WA, 6112","AMBERLEY, QLD, 4306","(-27.6304065, 152.6980108651208)"
roger.prohaska@gmail.com,Charles,Wilson,85 Isaac Terrace,ALEXANDRA HILLS,QLD,3161,5414 Leannon Crest,ALSACE,QLD,4702,"ALEXANDRA HILLS, QLD, 3161","ALSACE, QLD, 4702","(-23.287394, 149.2905304575663)"
arthur@yahoo.com,Owen,Carter,9300 Moss Run,ANKETELL,WA,6167,99 Levi Summit,ADARE,QLD,4343,"ANKETELL, WA, 6167","ADARE, QLD, 4343","(-27.5123015, 152.28868017258898)"
barrett@yahoo.com,Ashley,Green,5023 Nader Lane,ANDAMOOKA,SA,5722,92 Bergstrom Run,ANTONYMYRE,WA,6714,"ANDAMOOKA, SA, 5722","ANTONYMYRE, WA, 6714","(-20.6267825, 117.07780048166553)"
